gene_id,Not significant,m6A depleted,m6A enriched,msa_var
ENSMUSG00000001415,7,0,0,Not significant
ENSMUSG00000001416,3,4,0,m6A depleted
ENSMUSG00000001418,4,3,0,m6A depleted
ENSMUSG00000001419,3,4,0,m6A depleted
ENSMUSG00000001420,7,0,0,Not significant
ENSMUSG00000001424,3,4,0,m6A depleted
ENSMUSG00000001435,6,1,0,Not significant
ENSMUSG00000001436,7,0,0,Not significant
ENSMUSG00000001440,4,3,0,m6A depleted
ENSMUSG00000001441,3,4,0,m6A depleted
ENSMUSG00000001444,5,0,0,Not significant
ENSMUSG00000001445,7,0,0,Not significant
ENSMUSG00000001467,7,0,0,Not significant
ENSMUSG00000001472,6,1,0,Not significant
ENSMUSG00000001473,6,0,1,Not significant
ENSMUSG00000001482,7,0,0,Not significant
ENSMUSG00000001493,5,0,0,Not significant
ENSMUSG00000001494,5,0,0,Not significant
ENSMUSG00000001496,3,0,0,Not significant
ENSMUSG00000001497,4,0,0,Not significant
ENSMUSG00000001504,5,0,2,Not significant
ENSMUSG00000001506,2,5,0,m6A depleted
ENSMUSG00000001507,6,0,1,Not significant
ENSMUSG00000001508,3,0,0,Not significant
ENSMUSG00000001510,4,0,1,Not significant
ENSMUSG00000001517,7,0,0,Not significant
ENSMUSG00000001518,6,1,0,Not significant
ENSMUSG00000001520,4,1,0,Not significant
ENSMUSG00000001521,6,1,0,Not significant
ENSMUSG00000001524,5,2,0,Not significant
ENSMUSG00000001525,6,1,0,Not significant
ENSMUSG00000001542,7,0,0,Not significant
ENSMUSG00000001552,2,5,0,m6A depleted
ENSMUSG00000001555,2,5,0,m6A depleted
ENSMUSG00000001558,7,0,0,Not significant
ENSMUSG00000001566,3,0,1,Not significant
ENSMUSG00000001569,4,0,3,m6A enriched
ENSMUSG00000001576,2,5,0,m6A depleted
ENSMUSG00000001583,7,0,0,Not significant
ENSMUSG00000001588,5,0,0,Not significant
ENSMUSG00000001604,7,0,0,Not significant
ENSMUSG00000001622,2,0,0,Not significant
ENSMUSG00000001627,1,6,0,m6A depleted
ENSMUSG00000001630,4,0,3,m6A enriched
ENSMUSG00000001632,4,0,3,m6A enriched
ENSMUSG00000001642,2,5,0,m6A depleted
ENSMUSG00000001655,4,0,0,Not significant
ENSMUSG00000001661,4,0,0,Not significant
ENSMUSG00000001663,7,0,0,Not significant
ENSMUSG00000001665,7,0,0,Not significant
ENSMUSG00000001666,6,1,0,Not significant
ENSMUSG00000001670,1,0,0,Not significant
ENSMUSG00000001672,7,0,0,Not significant
ENSMUSG00000001674,6,0,1,Not significant
ENSMUSG00000001687,2,0,5,m6A enriched
ENSMUSG00000001700,2,5,0,m6A depleted
ENSMUSG00000001707,5,2,0,Not significant
ENSMUSG00000001729,4,3,0,m6A depleted
ENSMUSG00000001739,7,0,0,Not significant
ENSMUSG00000001741,6,0,1,Not significant
ENSMUSG00000001750,4,3,0,m6A depleted
ENSMUSG00000001751,1,0,6,m6A enriched
ENSMUSG00000001755,7,0,0,Not significant
ENSMUSG00000001761,4,3,0,m6A depleted
ENSMUSG00000001763,7,0,0,Not significant
ENSMUSG00000001767,3,3,1,m6A depleted
ENSMUSG00000001768,6,0,1,Not significant
ENSMUSG00000001773,2,1,0,Not significant
ENSMUSG00000001774,3,4,0,m6A depleted
ENSMUSG00000001783,7,0,0,Not significant
ENSMUSG00000001785,3,4,0,m6A depleted
ENSMUSG00000001786,7,0,0,Not significant
ENSMUSG00000001794,2,5,0,m6A depleted
ENSMUSG00000001802,2,0,5,m6A enriched
ENSMUSG00000001815,3,0,0,Not significant
ENSMUSG00000001819,4,0,0,Not significant
ENSMUSG00000001827,5,2,0,Not significant
ENSMUSG00000001829,5,2,0,Not significant
ENSMUSG00000001833,6,0,1,Not significant
ENSMUSG00000001844,4,3,0,m6A depleted
ENSMUSG00000001847,1,6,0,m6A depleted
ENSMUSG00000001855,7,0,0,Not significant
ENSMUSG00000001864,6,1,0,Not significant
ENSMUSG00000001865,3,0,0,Not significant
ENSMUSG00000001870,7,0,0,Not significant
ENSMUSG00000001891,2,5,0,m6A depleted
ENSMUSG00000001901,7,0,0,Not significant
ENSMUSG00000001909,3,4,0,m6A depleted
ENSMUSG00000001910,7,0,0,Not significant
ENSMUSG00000001911,7,0,0,Not significant
ENSMUSG00000001918,7,0,0,Not significant
ENSMUSG00000001924,1,6,0,m6A depleted
ENSMUSG00000001930,6,1,0,Not significant
ENSMUSG00000001942,6,1,0,Not significant
ENSMUSG00000001943,6,0,1,Not significant
ENSMUSG00000001946,7,0,0,Not significant
ENSMUSG00000001948,7,0,0,Not significant
ENSMUSG00000001962,6,1,0,Not significant
ENSMUSG00000001964,0,7,0,m6A depleted
ENSMUSG00000001983,6,0,1,Not significant
ENSMUSG00000001985,6,0,1,Not significant
ENSMUSG00000001986,6,0,1,Not significant
ENSMUSG00000001988,5,2,0,Not significant
ENSMUSG00000001995,5,0,2,Not significant
